region_id,lat,capacity,electric_bike_surcharge_waiver,legacy_id,has_kiosk,station_type,lon,rental_methods/0,rental_methods/1,station_id,short_name,eightd_has_key_dispenser,name
71,40.680611,31,FALSE,3382,TRUE,classic,-73.99475825,CREDITCARD,KEY,3382,4225.14,FALSE,Carroll St & Smith St
71,40.804213,25,FALSE,3383,TRUE,classic,-73.96699104,CREDITCARD,KEY,3383,7680.03,FALSE,Cathedral Pkwy & Broadway
71,40.6787242,25,FALSE,3384,TRUE,classic,-73.99599099,CREDITCARD,KEY,3384,4151.01,FALSE,Smith St & 3 St
71,40.6809591,27,FALSE,3386,TRUE,classic,-73.99905709,CREDITCARD,KEY,3386,4193.14,FALSE,1 Pl & Clinton St
71,40.7934337,25,FALSE,3387,TRUE,classic,-73.94945003,CREDITCARD,KEY,3387,7528.31,FALSE,E 106 St & Madison Ave
71,40.6828003,25,FALSE,3388,TRUE,classic,-73.99990419,CREDITCARD,KEY,3388,4307.13,FALSE,President St & Henry St
71,40.6830456,28,FALSE,3389,TRUE,classic,-74.00348559,CREDITCARD,KEY,3389,4348.07,FALSE,Carroll St & Columbia St
71,40.79329668,24,FALSE,3390,TRUE,classic,-73.9432083,CREDITCARD,KEY,3390,7504.12,FALSE,E 109 St & 3 Ave
71,40.7892529,26,FALSE,3391,TRUE,classic,-73.93956237,CREDITCARD,KEY,3391,7456.03,FALSE,E 106 St & 1 Ave
71,40.6812117,19,FALSE,3392,TRUE,classic,-74.00860912,CREDITCARD,KEY,3392,4243.01,FALSE,Commerce St & Van Brunt St
71,40.6794327,19,FALSE,3393,TRUE,classic,-74.00785041,CREDITCARD,KEY,3393,4202.04,FALSE,Richards St & Delavan St
71,40.6769993,21,FALSE,3394,TRUE,classic,-74.00647134,CREDITCARD,KEY,3394,4086.05,FALSE,Columbia St & W 9 St
71,40.6763744,19,FALSE,3395,TRUE,classic,-74.00324957,CREDITCARD,KEY,3395,4086.06,FALSE,Henry St & W 9 St
71,40.6783563,25,FALSE,3396,TRUE,classic,-74.00014502,CREDITCARD,KEY,3396,4119.04,FALSE,Clinton St & 4 Place
71,40.6763947,25,FALSE,3397,TRUE,classic,-73.99869893,CREDITCARD,KEY,3397,4077.07,FALSE,Court St & Nelson St
71,40.6746957,23,FALSE,3398,TRUE,classic,-73.99785768,CREDITCARD,KEY,3398,4077.04,FALSE,Smith St & 9 St
71,40.67260298,24,FALSE,3399,TRUE,classic,-73.98983002,CREDITCARD,KEY,3399,3996.01,FALSE,7 St & 3 Ave
71,40.7961535,24,FALSE,3400,TRUE,classic,-73.94782145,CREDITCARD,KEY,3400,7587.14,FALSE,E 110 St & Madison Ave
71,40.6902375,32,FALSE,3402,TRUE,classic,-73.99203074,CREDITCARD,KEY,3402,4488.08,FALSE,Court St & State St
71,40.6705135,31,FALSE,3403,TRUE,classic,-73.98876585,CREDITCARD,KEY,3403,3955.05,FALSE,4 Ave & 9 St
71,40.6704922,27,FALSE,3404,TRUE,classic,-73.98541675,CREDITCARD,KEY,3404,3914.02,FALSE,7 St & 5 Ave
71,40.6704836,23,FALSE,3405,TRUE,classic,-73.98208968,CREDITCARD,KEY,3405,3874.01,FALSE,5 St & 6 Ave
71,40.679098,23,FALSE,3407,TRUE,classic,-73.98765475,CREDITCARD,KEY,3407,4143.03,FALSE,Union St & Nevins St
71,40.6881529,27,FALSE,3408,TRUE,classic,-73.99520919,CREDITCARD,KEY,3408,4455.07,FALSE,Congress St & Clinton St
71,40.6867443,48,FALSE,3409,TRUE,classic,-73.99063168,CREDITCARD,KEY,3409,4446.01,FALSE,Bergen St & Smith St
71,40.6864442,77,FALSE,3410,TRUE,classic,-73.98759104,CREDITCARD,KEY,3410,4446.05,FALSE,Dean St & Hoyt St
71,40.6849668,27,FALSE,3411,TRUE,classic,-73.98620772,CREDITCARD,KEY,3411,4404.1,FALSE,Bond St & Bergen St
71,40.6853761,18,FALSE,3412,TRUE,classic,-73.98302136,CREDITCARD,KEY,3412,4362.04,FALSE,Pacific St & Nevins St
71,40.68094472,33,FALSE,3414,TRUE,classic,-73.97567332,CREDITCARD,KEY,3414,4281.08,FALSE,Bergen St & Flatbush Ave
71,40.6793307,25,FALSE,3415,TRUE,classic,-73.97519523,CREDITCARD,KEY,3415,4166.08,FALSE,Prospect Pl & 6 Ave
71,40.6776147,25,FALSE,3416,TRUE,classic,-73.97324283,CREDITCARD,KEY,3416,4125.07,FALSE,7 Ave & Park Pl
71,40.6795766,27,FALSE,3417,TRUE,classic,-73.97854971,CREDITCARD,KEY,3417,4208.11,FALSE,Baltic St & 5 Ave
71,40.6750207,33,FALSE,3418,TRUE,classic,-73.97111473,CREDITCARD,KEY,3418,4010.13,FALSE,Plaza St West & Flatbush Ave
